condition,seed,fdp,power,n_selected,threshold,w_signal_mean,w_signal_min,w_signal_max,w_null_mean,w_null_max,num_w_pos,num_w_neg,train_time_seconds
p100_s50_q10_lam001,0,0.12280701754385964,1.0,57,0.027232766151428223,0.22657110929489135,0.22301709651947021,0.23312759399414062,0.004115861654281616,0.04624629020690918,77,23,32.750446796417236
p100_s50_q10_lam001,100,0.10714285714285714,1.0,56,0.0328444242477417,0.22638031721115112,0.2217806577682495,0.23321318626403809,0.002427746057510376,0.050984978675842285,78,22,42.18412518501282
p100_s50_q10_lam001,200,0.05660377358490566,1.0,53,0.02541404962539673,0.22614405155181885,0.22111999988555908,0.23687565326690674,-0.00028795957565307616,0.053989291191101074,75,25,34.99047088623047
p100_s50_q10_lam001,300,0.12280701754385964,1.0,57,0.023864030838012695,0.2264505434036255,0.22113800048828125,0.23206102848052979,0.001869053840637207,0.04200553894042969,76,24,32.66540503501892
p100_s50_q10_lam001,400,0.07407407407407407,1.0,54,0.02731311321258545,0.22687242269515992,0.22260332107543945,0.23218154907226562,-0.0003449690341949463,0.04023456573486328,76,24,33.078887939453125
p100_s50_q10_lam001,500,0.038461538461538464,1.0,52,0.04222160577774048,0.22619657039642335,0.2223294973373413,0.23185288906097412,-0.005444415807723999,0.06154787540435791,68,32,32.51548457145691
p100_s50_q10_lam001,600,0.09090909090909091,1.0,55,0.027920007705688477,0.22714157104492189,0.22207093238830566,0.23970484733581543,0.002941182851791382,0.05404949188232422,82,18,32.71682929992676
p100_s50_q10_lam001,700,0.09090909090909091,1.0,55,0.026874125003814697,0.22630534410476685,0.22235584259033203,0.2317066192626953,0.0015117549896240235,0.033330321311950684,78,22,32.3091185092926
p100_s50_q10_lam001,800,0.05660377358490566,1.0,53,0.02703118324279785,0.2271113109588623,0.22348260879516602,0.23325586318969727,-0.0014814412593841552,0.053192973136901855,71,29,34.10863780975342
p100_s50_q10_lam001,900,0.12280701754385964,1.0,57,0.03280997276306152,0.22652958154678346,0.2223435640335083,0.23337996006011963,0.0011951136589050293,0.049124836921691895,78,22,32.90831732749939
p200_s60_q10_lam001,0,0.14285714285714285,1.0,70,0.04131889343261719,0.2243366062641144,0.21895170211791992,0.24358141422271729,0.001821370209966387,0.06897497177124023,135,65,35.373206615448
p200_s60_q10_lam001,100,0.0625,1.0,64,0.04278004169464111,0.2236063261826833,0.21677565574645996,0.2366633415222168,0.000384502751486642,0.05749189853668213,127,73,35.83054566383362
p200_s60_q10_lam001,200,0.15492957746478872,1.0,71,0.03879594802856445,0.22404497663180034,0.21880781650543213,0.23007261753082275,0.002405641334397452,0.05728161334991455,138,62,35.562288999557495
p200_s60_q10_lam001,300,0.09090909090909091,1.0,66,0.038602590560913086,0.2242343326409658,0.21930575370788574,0.23165881633758545,-0.0021290374653679983,0.05542421340942383,130,70,36.10804724693298
p200_s60_q10_lam001,400,0.0625,1.0,64,0.04274332523345947,0.22468430995941163,0.2182903289794922,0.235886812210083,-0.002429339715412685,0.06196403503417969,131,69,35.76403546333313
p200_s60_q10_lam001,500,0.11764705882352941,1.0,68,0.0449223518371582,0.22450244228045146,0.2205144166946411,0.23671293258666992,-0.0003021074192864554,0.0652533769607544,130,70,38.145840883255005
p200_s60_q10_lam001,600,0.1044776119402985,1.0,67,0.045233845710754395,0.22489782571792602,0.2182753086090088,0.23428189754486084,-0.004340159893035889,0.05474424362182617,112,88,37.310750246047974
p200_s60_q10_lam001,700,0.0625,1.0,64,0.03986191749572754,0.22391510208447774,0.21740972995758057,0.23087573051452637,0.0035494502101625714,0.0534900426864624,139,61,35.96276903152466
p200_s60_q10_lam001,800,0.07692307692307693,1.0,65,0.04480093717575073,0.22492438356081645,0.21919798851013184,0.23872613906860352,0.001264475498880659,0.062020063400268555,138,62,36.104740619659424
p200_s60_q10_lam001,900,0.09090909090909091,1.0,66,0.04342848062515259,0.22393553256988524,0.2183130979537964,0.2389049530029297,-0.0002735597746712821,0.07373535633087158,127,73,37.62566876411438
p300_s90_q10_lam001,0,0.10891089108910891,1.0,101,0.045106589794158936,0.22405177354812622,0.2155625820159912,0.2294454574584961,0.002726931799025763,0.07862281799316406,206,94,40.86658263206482
p300_s90_q10_lam001,100,0.1,1.0,100,0.05266380310058594,0.2234125918812222,0.21432828903198242,0.23065435886383057,0.00021332076617649624,0.1008598804473877,194,106,41.496023416519165
p300_s90_q10_lam001,200,0.0425531914893617,1.0,94,0.05651414394378662,0.22354078557756213,0.21445858478546143,0.23145484924316406,-0.0008942853836786179,0.06174755096435547,199,101,40.081820249557495
p300_s90_q10_lam001,300,0.07216494845360824,1.0,97,0.053098320960998535,0.2240783373514811,0.21663713455200195,0.23172879219055176,-0.004140418200265793,0.0655679702758789,186,114,41.8958580493927
p300_s90_q10_lam001,400,0.08163265306122448,1.0,98,0.04521811008453369,0.22435501284069484,0.21656084060668945,0.2315363883972168,-0.0012042014371781123,0.07344233989715576,193,107,40.185348987579346
p300_s90_q10_lam001,500,0.08163265306122448,1.0,98,0.0492209792137146,0.22382327450646294,0.21357417106628418,0.2297905683517456,-0.001354408547991798,0.0675584077835083,197,103,40.07974076271057
